Designator,Mid X,Mid Y,Rotation,Layer
C1,176.215113,-119.888,0.0,bottom
C10,199.664,-121.9046,90.0,bottom
C11,177.038,-84.36,270.0,top
C12,183.017,-129.503,90.0,bottom
C13,182.763,-121.185,270.0,bottom
C14,177.038,-91.948,90.0,top
C15,186.055,-48.26,0.0,top
C16,177.352,-48.26,0.0,top
C2,186.055,-28.575,180.0,top
C3,189.992,-89.138,90.0,bottom
C4,189.738,-95.758,90.0,bottom
C5,192.786,-120.904,90.0,bottom
C6,192.786,-129.032,90.0,bottom
C7,177.8,-74.168,90.0,top
C8,177.8,-68.326,90.0,top
C9,199.664,-127.4926,90.0,bottom
D1,170.434,-60.452,90.0,top
D2,187.004,-62.992,180.0,top
D3,175.895,-35.56,270.0,top
D4,175.913352,-32.258,90.0,top
J1,86.614,-97.194,0.0,top
J10,167.132,-49.666,180.0,bottom
J11,164.338,-60.08,0.0,top
J12,117.9576,-48.142,180.0,top
J13,142.2455,-141.986,0.0,bottom
J15,197.418,-59.944,180.0,bottom
J17,83.058,-60.08,0.0,bottom
J18,195.5165,-48.142,180.0,top
J19,114.2115,-48.142,180.0,bottom
J2,101.605824,-97.194,0.0,top
J3,116.597648,-97.194,0.0,top
J4,86.614,-114.974,0.0,top
J5,101.605824,-114.974,0.0,top
J6,116.597648,-114.974,0.0,top
J7,118.461,-32.1908,270.0,top
J8,84.720648,-32.14,90.0,top
LED1,87.889,-94.116,180.0,top
LED2,102.880824,-94.116,180.0,top
LED3,117.872648,-94.116,180.0,top
LED4,85.339,-111.896,0.0,top
LED5,100.330824,-111.896,0.0,top
LED6,117.872648,-111.896,180.0,top
O1,170.434,-122.936,0.0,top
O3,196.596,-131.572,180.0,top
O5,193.548,-99.112648,180.0,top
Q1,174.498,-59.69,0.0,top
R1,174.244,-96.52,0.0,top
R10,93.472,-121.92,270.0,top
R11,94.234,-113.538,270.0,top
R12,109.739648,-122.789,270.0,top
R13,90.903,-94.116,0.0,top
R14,96.266,-90.052,0.0,top
R15,115.581648,-90.306,180.0,top
R16,93.98,-105.41,270.0,top
R17,108.712,-106.455,90.0,top
R18,109.739648,-115.14,270.0,top
R19,102.119648,-52.714,270.0,top
R2,174.186,-102.616,0.0,top
R20,102.235,-62.112,270.0,top
R21,196.85,-83.82,270.0,top
R22,196.85,-91.948,270.0,top
R23,167.386,-122.682,90.0,top
R24,167.894,-70.104,0.0,top
R25,167.865,-73.66,0.0,top
R26,178.562,-77.978,180.0,top
R27,99.579648,-28.428,270.0,top
R28,103.516648,-31.142,270.0,top
R29,188.468,-77.216,0.0,top
R3,174.244,-115.824,0.0,top
R30,188.468,-74.041,0.0,top
R31,195.355,-103.124,180.0,top
R32,185.684,-131.469,90.0,top
R33,185.684,-118.613,270.0,top
R34,196.596,-108.204,270.0,top
R35,188.4948,-70.739,0.0,top
R36,167.865,-85.598,0.0,top
R37,196.85,-75.946,270.0,top
R38,190.5558,-80.518,180.0,top
R39,185.674,-110.49,270.0,top
R4,174.244,-112.522,0.0,top
R40,186.436,-102.616,270.0,top
R5,174.244,-109.22,0.0,top
R6,174.244,-105.918,0.0,top
R7,93.98,-97.282,270.0,top
R8,105.918,-89.515,270.0,top
R9,109.982,-93.862,270.0,top
SW1,114.0714,-72.8054,0.0,top
SW2,94.234,-72.78,0.0,top
U1,181.303352,-31.75,180.0,bottom
U2,191.356,-91.4714,0.0,bottom
VR1,108.8594,-52.5974,270.0,top
VR2,89.332648,-52.587,270.0,top
