Designator,Mid X,Mid Y,Rotation,Layer
C1,194.437,-75.819,0.0,top
C10,190.2305,-93.0686,0.0,top
C11,190.2305,-106.0226,0.0,top
C12,190.2305,-103.1016,0.0,top
C13,190.2305,-98.4026,0.0,top
C14,190.2305,-95.6086,0.0,top
C15,185.293,-43.053,0.0,top
C16,178.943,-43.053,0.0,top
C17,103.632,-141.042,90.0,top
C18,103.124,-145.076,270.0,top
C2,180.848,-47.371,0.0,top
C3,185.293,-35.941,0.0,top
C4,178.943,-39.497,0.0,top
C5,185.293,-39.4956,0.0,top
C6,178.943,-35.941,0.0,top
C7,194.437,-78.994,0.0,top
C8,194.437,-72.644,0.0,top
C9,190.2305,-90.5286,0.0,top
D1,170.053,-58.556,270.0,top
D2,178.943,-58.556,270.0,top
D3,175.387,-46.863,90.0,top
D4,174.549,-34.925,90.0,top
J1,86.614,-97.194,0.0,top
J10,167.005,-49.657,180.0,bottom
J11,164.211,-60.071,0.0,top
J12,117.9576,-48.142,180.0,top
J13,142.2455,-141.986,0.0,bottom
J15,199.263,-49.911,180.0,bottom
J17,83.058,-60.08,0.0,bottom
J18,195.3895,-48.133,180.0,top
J19,114.2115,-48.142,180.0,bottom
J2,101.605824,-97.194,0.0,top
J20,112.776,-151.172,180.0,top
J21,105.664,-150.664,90.0,bottom
J3,116.597648,-97.194,0.0,top
J4,86.614,-114.974,0.0,top
J5,101.605824,-114.974,0.0,top
J6,116.597648,-114.974,0.0,top
J7,118.461,-32.1908,270.0,top
J8,84.720648,-32.14,90.0,top
LED1,87.889,-94.116,180.0,top
LED2,102.880824,-94.116,180.0,top
LED3,117.872648,-94.116,180.0,top
LED4,85.339,-111.896,0.0,top
LED5,100.330824,-111.896,0.0,top
LED6,117.872648,-111.896,180.0,top
LED7,105.664,-145.076,270.0,top
O1,182.534,-52.07,180.0,top
O3,170.485,-113.411,90.0,top
O5,182.169,-113.411,90.0,top
Q1,174.178,-58.556,0.0,top
R1,185.563,-90.5286,180.0,top
R10,93.472,-120.278,270.0,top
R11,110.773,-111.896,180.0,top
R12,109.739648,-122.789,270.0,top
R13,92.456,-94.116,0.0,top
R14,96.266,-90.052,0.0,top
R15,115.581648,-90.306,180.0,top
R16,93.472,-112.121,270.0,top
R17,108.458,-103.993,90.0,top
R18,109.8042,-116.2718,270.0,top
R19,102.108,-53.34,270.0,top
R2,185.547,-93.0686,180.0,top
R20,102.235,-62.112,270.0,top
R21,184.979,-119.507,0.0,top
R22,189.281,-119.507,0.0,top
R23,186.198,-47.371,0.0,top
R24,190.373,-74.168,270.0,top
R25,190.373,-78.613,90.0,top
R26,178.308,-81.931,270.0,top
R27,99.579648,-28.428,270.0,top
R28,103.516648,-31.142,270.0,top
R29,171.993,-119.507,0.0,top
R3,185.547,-106.0226,180.0,top
R30,180.629,-119.507,180.0,top
R31,177.657,-89.849517,90.0,top
R32,166.929,-103.251,90.0,top
R33,169.037,-94.9736,90.0,top
R34,173.355,-89.849517,180.0,top
R35,167.691,-119.507,0.0,top
R36,176.311,-119.507,180.0,top
R37,177.657,-94.421517,180.0,top
R38,166.929,-107.315,90.0,top
R39,170.993,-99.5456,270.0,top
R4,185.547,-103.1016,180.0,top
R40,173.355,-94.421517,0.0,top
R41,106.172,-141.012,270.0,top
R5,185.547,-98.4026,180.0,top
R6,185.547,-95.6086,180.0,top
R7,93.218,-101.736,270.0,top
R8,105.918,-89.515,270.0,top
R9,109.982,-93.862,270.0,top
Rx1,97.536,-150.68,270.0,top
SW1,114.0714,-72.8054,0.0,top
SW2,94.234,-72.78,0.0,top
U1,183.439,-30.861,0.0,top
U2,191.229,-81.788,0.0,bottom
U3,99.06,-145.076,270.0,top
VR1,108.8594,-52.5974,270.0,top
VR2,89.332648,-52.587,270.0,top
VR3,94.996,-143.378,180.0,top
